point_t,x,y,dist_m,quality,angle_deg
1776310027.4375892,0.39101286390992784,1.0519287061188871,1.12225,47,69.609375
1776310027.4375892,0.3821382487539333,1.0543873144339686,1.1215,47,70.078125
1776310027.4375892,0.37419748920105717,1.056701111514332,1.121,47,70.5
1776310027.4375892,0.36720589359225764,1.0654993344489294,1.127,47,70.984375
1776310027.4375892,0.34192528446805864,1.0938021301137775,1.146,47,72.640625
1776310027.4375892,0.3364098236901945,1.093941808564209,1.1445,47,72.90625
1776310027.4375892,0.3278198944908152,1.111150919891637,1.1585,47,73.5625
1776310027.4375892,0.3228043199972765,1.1131389720026408,1.159,47,73.828125
1776310027.4375892,0.30607963491210893,1.1214818353821296,1.1625,47,74.734375
1776310027.4375892,0.2992988089329022,1.1305531712269645,1.1695,47,75.171875
1776310027.4375892,0.29257959741038164,1.1441845039936431,1.181,47,75.65625
1776310027.4375892,0.28671837823913715,1.1580334932893432,1.193,47,76.09375
1776310027.4375892,0.2783407456106206,1.1677870864729254,1.2005,47,76.59375
1776310027.4375892,0.2684854981361677,1.1880402086169364,1.218,47,77.265625
1776310027.4375892,0.2636765396500451,1.1924454892942393,1.22125,47,77.53125
1776310027.4375892,0.2510763277230542,1.2005261045296372,1.2265,47,78.1875
1776310027.4375892,0.2384863457038787,1.2127737888463825,1.236,47,78.875
1776310027.4375892,0.23154889898311223,1.2324370602102601,1.254,47,79.359375
1776310027.4375892,0.22337154711486998,1.2410584804671814,1.261,47,79.796875
1776310027.4375892,0.21236435778435112,1.2419747902203329,1.26,47,80.296875
1776310027.4375892,0.19998378312246276,1.2582060588345727,1.274,47,80.96875
1776310027.4375892,0.19445335867215402,1.2610963053237125,1.276,47,81.234375
1776310027.4375892,0.18183049353550945,1.27611075993451,1.289,47,81.890625
1776310027.4375892,0.1760830619516327,1.2781783200296182,1.29025,47,82.15625
1776310027.4375892,0.15702254258305018,1.2904820499025758,1.3,47,83.0625
1776310027.4375892,0.1475037875395826,1.2946241279465933,1.303,47,83.5
1776310027.4375892,0.1369731728093521,1.299802811941311,1.307,47,83.984375
1776310027.4375892,0.127481634848446,1.3052895015192483,1.3115,47,84.421875
1776310027.4375892,0.11625932316058697,1.3123604763090977,1.3175,47,84.9375
